status,method,target,split_name,heldout_fold,parameter_set,nominal_coverage,empirical_coverage,coverage_delta_from_nominal,n_test_rows,n_test_conditions,n_calibration_rows,n_calibration_conditions,mean_interval_width,median_interval_width,interval_score,calibration_source,conformal_radius,replicate_radius,mean_test_replicate_spread,intervals_narrower_than_replicate_spread_fraction,intervals_wider_than_replicate_spread_fraction,condition_level_coverage,worst_condition_coverage
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,0,,0.8,0.830568720379147,0.03056872037914693,844,16,0,0,0.18880558619686333,0.14992742512515012,0.277714136954134,model_quantile_outputs,,,,,,0.7982973941324781,0.6190476190476191
evaluated,Q1_split_conformal_abs_residual,capacity_Ah_k1,condition_fold,0,,0.9,0.8744075829383886,-0.025592417061611417,844,16,2983,60,0.14182880612105553,0.14182880612105553,0.3367851350843701,same_split_excluding_test_conditions,0.07091440306052776,,0.04687925473933651,0.0533175355450237,0.9466824644549763,0.7795757627060148,0.29411764705882354
evaluated,Q2_stressor_family_conformal,capacity_Ah_k1,condition_fold,0,,0.9,0.9466824644549763,0.04668246445497626,844,16,7997,60,0.24514530300751722,0.24514530300751702,0.3547985378582227,cross_split_excluding_test_conditions,0.12257265150375862,,0.04687925473933651,0.03672985781990521,0.9632701421800948,0.8913714069543901,0.6470588235294118
evaluated,Q3_replicate_tolerance_hybrid,capacity_Ah_k1,condition_fold,0,,0.9,0.9466824644549763,0.04668246445497626,844,16,7997,60,0.24514530300751722,0.24514530300751702,0.3547985378582227,cross_split_excluding_test_conditions,0.12257265150375862,0.0223040000000001,0.04687925473933651,0.03672985781990521,0.9632701421800948,0.8913714069543901,0.6470588235294118
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,1,,0.8,0.7832167832167832,-0.016783216783216814,858,15,0,0,0.1537968726906067,0.1230051310118081,0.2801486532882545,model_quantile_outputs,,,,,,0.7797608137258568,0.5277777777777778
evaluated,Q1_split_conformal_abs_residual,capacity_Ah_k1,condition_fold,1,,0.9,0.9445086705202312,0.04450867052023122,865,15,2962,61,0.15843426156481666,0.15843426156481666,0.3029559470526853,same_split_excluding_test_conditions,0.07921713078240833,,0.053718131791907514,0.09479768786127167,0.9052023121387284,0.8790003235008472,0.5
evaluated,Q2_stressor_family_conformal,capacity_Ah_k1,condition_fold,1,,0.9,0.9676300578034682,0.0676300578034682,865,15,8275,61,0.2540175713511319,0.2540175713511319,0.3583137484338178,cross_split_excluding_test_conditions,0.12700878567556595,,0.053718131791907514,0.05317919075144509,0.9468208092485549,0.9077374105985435,0.5
evaluated,Q3_replicate_tolerance_hybrid,capacity_Ah_k1,condition_fold,1,,0.9,0.9676300578034682,0.0676300578034682,865,15,8275,61,0.2540175713511319,0.2540175713511319,0.3583137484338178,cross_split_excluding_test_conditions,0.12700878567556595,0.022737999999999925,0.053718131791907514,0.05317919075144509,0.9468208092485549,0.9077374105985435,0.5
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,2,,0.8,0.7289088863892014,-0.07109111361079867,889,15,0,0,0.1625427070373828,0.14140770985545048,0.25187585108019817,model_quantile_outputs,,,,,,0.6864083661738467,0.16666666666666666
evaluated,Q1_split_conformal_abs_residual,capacity_Ah_k1,condition_fold,2,,0.9,0.9069506726457399,0.006950672645739897,892,15,2935,61,0.15010147405218088,0.15010147405218088,0.3083704335741079,same_split_excluding_test_conditions,0.07505073702609044,,0.04579514686098655,0.04035874439461883,0.9596412556053812,0.8069021459845219,0.16666666666666666
evaluated,Q2_stressor_family_conformal,capacity_Ah_k1,condition_fold,2,,0.9,0.9461883408071748,0.04618834080717482,892,15,7774,61,0.24057284544994406,0.24057284544994406,0.3328756064099923,cross_split_excluding_test_conditions,0.12028642272497203,,0.04579514686098655,0.026905829596412557,0.9730941704035875,0.8903389840445038,0.5
evaluated,Q3_replicate_tolerance_hybrid,capacity_Ah_k1,condition_fold,2,,0.9,0.9461883408071748,0.04618834080717482,892,15,7774,61,0.24057284544994406,0.24057284544994406,0.3328756064099923,cross_split_excluding_test_conditions,0.12028642272497203,0.02159500000000003,0.04579514686098655,0.026905829596412557,0.9730941704035875,0.8903389840445038,0.5
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,3,,0.8,0.8094302554027505,0.009430255402750443,509,15,0,0,0.18134716545837776,0.11733434256546582,0.4021557858335368,model_quantile_outputs,,,,,,0.7505440607786145,0.3333333333333333
evaluated,Q1_split_conformal_abs_residual,capacity_Ah_k1,condition_fold,3,,0.9,0.831041257367387,-0.06895874263261303,509,15,3318,61,0.13836911776651248,0.1383691177665125,0.5287776733913875,same_split_excluding_test_conditions,0.06918455888325625,,0.0714899724950884,0.12966601178781925,0.8703339882121808,0.7244620427457956,0.3333333333333333
evaluated,Q2_stressor_family_conformal,capacity_Ah_k1,condition_fold,3,,0.9,0.9056974459724951,0.005697445972495108,509,15,9000,61,0.223511704651985,0.223511704651985,0.5065527352642668,cross_split_excluding_test_conditions,0.1117558523259925,,0.0714899724950884,0.08447937131630648,0.9155206286836935,0.8130641032414487,0.5
evaluated,Q3_replicate_tolerance_hybrid,capacity_Ah_k1,condition_fold,3,,0.9,0.9056974459724951,0.005697445972495108,509,15,9000,61,0.223511704651985,0.223511704651985,0.5065527352642668,cross_split_excluding_test_conditions,0.1117558523259925,0.021633000000000013,0.0714899724950884,0.08447937131630648,0.9155206286836935,0.8130641032414487,0.5
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,condition_fold,4,,0.8,0.8426966292134831,0.04269662921348305,712,15,0,0,0.14998190039990664,0.11131487597581602,0.2759466736326465,model_quantile_outputs,,,,,,0.7651291810464607,0.0
evaluated,Q1_split_conformal_abs_residual,capacity_Ah_k1,condition_fold,4,,0.9,0.9205020920502092,0.020502092050209142,717,15,3110,61,0.15231822970488018,0.15231822970488018,0.30995723585146173,same_split_excluding_test_conditions,0.07615911485244009,,0.06450848953974896,0.08647140864714087,0.9135285913528591,0.8047599529942484,0.4666666666666667
evaluated,Q2_stressor_family_conformal,capacity_Ah_k1,condition_fold,4,,0.9,0.9511854951185496,0.05118549511854953,717,15,8414,61,0.24589571166649724,0.24589571166649726,0.34347595830735556,cross_split_excluding_test_conditions,0.12294785583324863,,0.06450848953974896,0.06555090655509066,0.9344490934449093,0.863471680177962,0.5
evaluated,Q3_replicate_tolerance_hybrid,capacity_Ah_k1,condition_fold,4,,0.9,0.9511854951185496,0.05118549511854953,717,15,8414,61,0.24589571166649724,0.24589571166649726,0.34347595830735556,cross_split_excluding_test_conditions,0.12294785583324863,0.021559000000000328,0.06450848953974896,0.06555090655509066,0.9344490934449093,0.863471680177962,0.5
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,temperature_holdout_fold,1,,0.8,0.7830188679245284,-0.016981132075471694,742,19,0,0,0.17861824088253858,0.12760216259651247,0.41197442502697657,model_quantile_outputs,,,,,,0.7416618450343733,0.23529411764705882
evaluated,Q1_split_conformal_abs_residual,capacity_Ah_k1,temperature_holdout_fold,1,,0.9,0.9245283018867925,0.024528301886792447,742,19,1060,19,0.23630976984177643,0.23630976984177643,0.4567413553594036,same_split_excluding_test_conditions,0.11815488492088821,,0.05308297708894879,0.0444743935309973,0.9555256064690026,0.7776260189608346,0.5
evaluated,Q2_stressor_family_conformal,capacity_Ah_k1,temperature_holdout_fold,1,,0.9,0.921832884097035,0.021832884097034988,742,19,7966,57,0.22948455274839485,0.22948455274839485,0.45517265942037194,cross_split_excluding_test_conditions,0.11474227637419743,,0.05308297708894879,0.0444743935309973,0.9555256064690026,0.7710212717988119,0.5
evaluated,Q3_replicate_tolerance_hybrid,capacity_Ah_k1,temperature_holdout_fold,1,,0.9,0.921832884097035,0.021832884097034988,742,19,7966,57,0.22948455274839485,0.22948455274839485,0.45517265942037194,cross_split_excluding_test_conditions,0.11474227637419743,0.021452000000000027,0.05308297708894879,0.0444743935309973,0.9555256064690026,0.7710212717988119,0.5
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,temperature_holdout_fold,2,,0.8,0.6801152737752162,-0.11988472622478386,1041,19,0,0,0.14281667373668855,0.08637155356429949,0.40113264229419615,model_quantile_outputs,,,,,,0.6937773210073482,0.4857142857142857
evaluated,Q1_split_conformal_abs_residual,capacity_Ah_k1,temperature_holdout_fold,2,,0.9,0.8716981132075472,-0.028301886792452824,1060,19,742,19,0.1840870291644654,0.1840870291644654,0.4800252551318274,same_split_excluding_test_conditions,0.0920435145822327,,0.06674021226415094,0.08679245283018867,0.9132075471698113,0.8117506764086942,0.23076923076923078
evaluated,Q2_stressor_family_conformal,capacity_Ah_k1,temperature_holdout_fold,2,,0.9,0.9047169811320754,0.004716981132075415,1060,19,6903,57,0.24201636386957492,0.24201636386957492,0.47188550826342873,cross_split_excluding_test_conditions,0.12100818193478746,,0.06674021226415094,0.06415094339622641,0.9358490566037736,0.8614653909166899,0.46153846153846156
evaluated,Q3_replicate_tolerance_hybrid,capacity_Ah_k1,temperature_holdout_fold,2,,0.9,0.9047169811320754,0.004716981132075415,1060,19,6903,57,0.24201636386957492,0.24201636386957492,0.47188550826342873,cross_split_excluding_test_conditions,0.12100818193478746,0.022729,0.06674021226415094,0.06415094339622641,0.9358490566037736,0.8614653909166899,0.46153846153846156
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,c_rate_holdout_fold,1,,0.8,0.7515923566878981,-0.0484076433121019,157,12,0,0,0.298217351678304,0.22678300757450298,0.9753920477017423,model_quantile_outputs,,,,,,0.6455450190647559,0.0
insufficient,Q1_split_conformal_abs_residual,capacity_Ah_k1,c_rate_holdout_fold,1,,0.9,,,0,0,0,0,,,,not_enough_disjoint_calibration_conditions,,,,,,,
evaluated,Q2_stressor_family_conformal,capacity_Ah_k1,c_rate_holdout_fold,1,,0.9,0.7197452229299363,-0.18025477707006377,157,12,9808,64,0.22104851935066705,0.22104851935066705,1.021004660032774,cross_split_excluding_test_conditions,0.11052425967533352,,0.1694681337579618,0.24203821656050956,0.7579617834394905,0.5618286501510186,0.0
evaluated,Q3_replicate_tolerance_hybrid,capacity_Ah_k1,c_rate_holdout_fold,1,,0.9,0.7197452229299363,-0.18025477707006377,157,12,9808,64,0.22104851935066705,0.22104851935066705,1.021004660032774,cross_split_excluding_test_conditions,0.11052425967533352,0.021633000000000013,0.1694681337579618,0.24203821656050956,0.7579617834394905,0.5618286501510186,0.0
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,profile_holdout_fold,1,,0.8,0.8882978723404256,0.08829787234042552,752,12,0,0,0.2868138655708062,0.25350108665335047,0.4398818922980706,model_quantile_outputs,,,,,,0.8249347331049138,0.26666666666666666
insufficient,Q1_split_conformal_abs_residual,capacity_Ah_k1,profile_holdout_fold,1,,0.9,,,0,0,0,0,,,,not_enough_disjoint_calibration_conditions,,,,,,,
evaluated,Q2_stressor_family_conformal,capacity_Ah_k1,profile_holdout_fold,1,,0.9,0.8231382978723404,-0.07686170212765964,752,12,7740,64,0.2255804087390851,0.22558040873908514,0.5110892887548926,cross_split_excluding_test_conditions,0.11279020436954257,,0.06415613829787233,0.0678191489361702,0.9321808510638298,0.776543035277975,0.4
evaluated,Q3_replicate_tolerance_hybrid,capacity_Ah_k1,profile_holdout_fold,1,,0.9,0.8231382978723404,-0.07686170212765964,752,12,7740,64,0.2255804087390851,0.22558040873908514,0.5110892887548926,cross_split_excluding_test_conditions,0.11279020436954257,0.021107999999999905,0.06415613829787233,0.0678191489361702,0.9321808510638298,0.776543035277975,0.4
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,voltage_window_holdout_fold,1,,0.8,0.8699115044247787,0.06991150442477867,1130,28,0,0,0.30861380476839934,0.2727175935524604,0.48057113153198966,model_quantile_outputs,,,,,,0.7761643541964663,0.0
evaluated,Q1_split_conformal_abs_residual,capacity_Ah_k1,voltage_window_holdout_fold,1,,0.9,0.7230088495575221,-0.17699115044247793,1130,28,2697,48,0.2174897672955618,0.2174897672955618,0.7562593188741662,same_split_excluding_test_conditions,0.1087448836477809,,0.06603466637168141,0.07876106194690266,0.9212389380530973,0.5646566175557682,0.0
evaluated,Q2_stressor_family_conformal,capacity_Ah_k1,voltage_window_holdout_fold,1,,0.9,0.6141592920353982,-0.2858407079646018,1130,28,6775,48,0.16215863809730013,0.16215863809730013,0.8834542048845576,cross_split_excluding_test_conditions,0.08107931904865007,,0.06603466637168141,0.09380530973451327,0.9061946902654867,0.4509725608302196,0.0
evaluated,Q3_replicate_tolerance_hybrid,capacity_Ah_k1,voltage_window_holdout_fold,1,,0.9,0.6141592920353982,-0.2858407079646018,1130,28,6775,48,0.16215863809730013,0.16215863809730013,0.8834542048845576,cross_split_excluding_test_conditions,0.08107931904865007,0.020683000000000007,0.06603466637168141,0.09380530973451327,0.9061946902654867,0.4509725608302196,0.0
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,voltage_window_holdout_fold,2,,0.8,0.7359591539022611,-0.06404084609773897,1371,32,0,0,0.25455614604291915,0.21642942117180342,0.5730821164358213,model_quantile_outputs,,,,,,0.6889633104071534,0.3333333333333333
evaluated,Q1_split_conformal_abs_residual,capacity_Ah_k1,voltage_window_holdout_fold,2,,0.9,0.9153902261123268,0.015390226112326766,1371,32,2456,44,0.30389336601780137,0.30389336601780137,0.5211239547603205,same_split_excluding_test_conditions,0.15194668300890068,,0.07450677607585705,0.06272793581327499,0.937272064186725,0.8084357777988945,0.16666666666666666
evaluated,Q2_stressor_family_conformal,capacity_Ah_k1,voltage_window_holdout_fold,2,,0.9,0.8811086797957695,-0.018891320204230566,1371,32,6902,44,0.24274585428654527,0.24274585428654527,0.5226999869409722,cross_split_excluding_test_conditions,0.12137292714327264,,0.07450677607585705,0.0824215900802334,0.9175784099197666,0.755804388306851,0.16666666666666666
evaluated,Q3_replicate_tolerance_hybrid,capacity_Ah_k1,voltage_window_holdout_fold,2,,0.9,0.8811086797957695,-0.018891320204230566,1371,32,6902,44,0.24274585428654527,0.24274585428654527,0.5226999869409722,cross_split_excluding_test_conditions,0.12137292714327264,0.021361000000000185,0.07450677607585705,0.0824215900802334,0.9175784099197666,0.755804388306851,0.16666666666666666
evaluated,Q0_hgb_quantile_raw,capacity_Ah_k1,voltage_window_holdout_fold,3,,0.8,0.0,-0.8,1145,16,0,0,0.2399513827071396,0.23699891137488738,1.592426986057703,model_quantile_outputs,,,,,,0.0,0.0
evaluated,Q1_split_conformal_abs_residual,capacity_Ah_k1,voltage_window_holdout_fold,3,,0.9,0.9811463046757164,0.08114630467571637,1326,16,2501,60,0.3500110546853108,0.3500110546853108,0.3642544678591141,same_split_excluding_test_conditions,0.1750055273426554,,0.024701784313725484,0.0,1.0,0.9813415750915752,0.9404761904761905
evaluated,Q2_stressor_family_conformal,capacity_Ah_k1,voltage_window_holdout_fold,3,,0.9,0.9600301659125189,0.06003016591251886,1326,16,7053,60,0.29256779893620966,0.29256779893620966,0.3251673575624308,cross_split_excluding_test_conditions,0.14628389946810483,,0.024701784313725484,0.0,1.0,0.9603365384615384,0.9285714285714286
