split_name,target,horizon_checkups,model_level,feature_group,contrast_family,contrast_rows,rank_evaluable_contrasts,spearman_r,kendall_tau_b,status,claim_scope
c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,all,25,25,-0.11,-0.08666666666666667,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,temperature,15,15,0.11071428571428571,0.08571428571428572,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH0_persistence,persistence,voltage_window,10,10,-0.34545454545454546,-0.24444444444444444,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,all,25,25,-0.1176923076923077,-0.1,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,temperature,15,15,0.1,0.047619047619047616,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,voltage_window,10,10,-0.34545454545454546,-0.24444444444444444,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,all,25,25,0.09615384615384616,0.04666666666666667,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,temperature,15,15,0.2857142857142857,0.18095238095238095,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,voltage_window,10,10,-0.04242424242424243,-0.06666666666666667,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,all,25,25,0.26,0.14666666666666667,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,15,15,0.375,0.18095238095238095,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,10,10,0.07878787878787878,0.022222222222222223,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,all,11,11,0.02727272727272727,0.01818181818181818,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,temperature,7,7,0.17857142857142855,0.14285714285714285,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH0_persistence,persistence,voltage_window,4,4,nan,nan,insufficient_contrasts,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,all,11,11,0.03636363636363636,0.05454545454545454,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,temperature,7,7,0.21428571428571425,0.23809523809523808,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,voltage_window,4,4,nan,nan,insufficient_contrasts,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,all,11,11,0.34545454545454546,0.23636363636363636,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,temperature,7,7,0.6785714285714285,0.5238095238095238,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,voltage_window,4,4,nan,nan,insufficient_contrasts,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,all,11,11,0.6909090909090909,0.5272727272727272,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,7,7,0.857142857142857,0.7142857142857143,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,4,4,nan,nan,insufficient_contrasts,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,all,25,25,nan,nan,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,temperature,15,15,nan,nan,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,voltage_window,10,10,nan,nan,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,all,25,25,-0.2794754173013069,-0.18769992000025484,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,temperature,15,15,-0.12008650343532752,-0.0778498944161523,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,voltage_window,10,10,-0.4233290200393297,-0.3265986323710904,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,all,25,25,0.06461538461538462,0.04666666666666667,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,temperature,15,15,0.34285714285714286,0.23809523809523808,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,voltage_window,10,10,-0.10303030303030303,-0.022222222222222223,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,all,25,25,0.31,0.17333333333333334,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,15,15,0.2571428571428571,0.08571428571428572,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,10,10,0.503030303030303,0.3333333333333333,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH0_persistence,persistence,all,11,11,nan,nan,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH0_persistence,persistence,temperature,7,7,nan,nan,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH0_persistence,persistence,voltage_window,4,4,nan,nan,insufficient_contrasts,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH1_prior_slope_linear,prior_slope,all,11,11,0.10488088481701516,0.10050378152592121,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH1_prior_slope_linear,prior_slope,temperature,7,7,0.3349469226516178,0.2817180849095055,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH1_prior_slope_linear,prior_slope,voltage_window,4,4,nan,nan,insufficient_contrasts,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH2_ridge,K2_nominal_condition,all,11,11,0.3,0.2,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH2_ridge,K2_nominal_condition,temperature,7,7,0.6785714285714285,0.5238095238095238,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH2_ridge,K2_nominal_condition,voltage_window,4,4,nan,nan,insufficient_contrasts,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH3_hist_gradient_boosting,K2_nominal_condition,all,11,11,0.8363636363636363,0.6727272727272727,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,7,7,0.7857142857142856,0.7142857142857143,evaluated,prospective_supported_contrast_diagnostic
c_rate_holdout_fold,delta_capacity_Ah_h,3,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,4,4,nan,nan,insufficient_contrasts,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH0_persistence,persistence,all,227,227,0.698859590987527,0.5214221667771237,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH0_persistence,persistence,charge_c_rate,34,34,-0.2320855614973262,-0.1408199643493761,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH0_persistence,persistence,profile,12,12,0.8741258741258742,0.7272727272727273,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH0_persistence,persistence,temperature,111,111,0.5571077571077571,0.42113022113022114,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH0_persistence,persistence,voltage_window,70,70,0.6130172338378094,0.515527950310559,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,all,227,227,0.7426877786646259,0.5935441113406885,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,charge_c_rate,34,34,-0.13491214667685256,-0.06951871657754011,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,profile,12,12,0.965034965034965,0.8787878787878788,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,temperature,111,111,0.6572920322920323,0.5331695331695332,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH1_prior_slope_linear,prior_slope,voltage_window,70,70,0.6342227276703699,0.5701863354037268,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,all,227,227,0.7413571646945128,0.5760009356360376,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,charge_c_rate,34,34,0.03926661573720397,0.0374331550802139,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,profile,12,12,0.7622377622377622,0.6060606060606061,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,temperature,111,111,0.47571955071955074,0.36412776412776415,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH2_ridge,K2_nominal_condition,voltage_window,70,70,0.6327530399790043,0.55527950310559,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,all,227,227,0.8332249281345347,0.6959182877860512,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,charge_c_rate,34,34,0.27853323147440795,0.19786096256684493,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,profile,12,12,0.8111888111888111,0.6363636363636364,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,111,111,0.7405931905931906,0.6203112203112203,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,2,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,70,70,0.6821975330242322,0.5801242236024845,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH0_persistence,persistence,all,189,189,0.7670594927033897,0.5753686817516604,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH0_persistence,persistence,charge_c_rate,23,23,-0.25592885375494073,-0.13043478260869565,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH0_persistence,persistence,profile,12,12,0.6713286713286714,0.5151515151515151,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH0_persistence,persistence,temperature,95,95,0.6049132138857781,0.45621500559910416,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH0_persistence,persistence,voltage_window,59,59,0.8077147866744594,0.6750438340151957,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,all,189,189,0.8566131641159637,0.6979624000900596,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,charge_c_rate,23,23,-0.042490118577075096,-0.003952569169960474,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,profile,12,12,0.8321678321678322,0.6666666666666666,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,temperature,95,95,0.7691349384098543,0.6107502799552071,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH1_prior_slope_linear,prior_slope,voltage_window,59,59,0.8956750438340152,0.7884278199883109,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,all,189,189,0.7326187809950407,0.589215355172802,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,charge_c_rate,23,23,0.1432806324110672,0.07509881422924901,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,profile,12,12,0.5384615384615384,0.3939393939393939,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,temperature,95,95,0.385666293393057,0.3182530795072788,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH2_ridge,K2_nominal_condition,voltage_window,59,59,0.8338398597311514,0.7206312098188195,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,all,189,189,0.8222844344904815,0.6783744230552741,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,charge_c_rate,23,23,0.24802371541501977,0.17786561264822134,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,profile,12,12,0.6293706293706294,0.45454545454545453,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,95,95,0.6992161254199327,0.5771556550951847,evaluated,prospective_supported_contrast_diagnostic
condition_fold,capacity_Ah_kh,3,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,59,59,0.8022793687901811,0.6703682057276447,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,all,227,227,nan,nan,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,charge_c_rate,34,34,nan,nan,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,profile,12,12,nan,nan,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,temperature,111,111,nan,nan,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH0_persistence,persistence,voltage_window,70,70,nan,nan,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,all,227,227,0.7228028082461954,0.5931124459897054,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,charge_c_rate,34,34,-0.248521160752832,-0.1539065713619486,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,profile,12,12,0.951048951048951,0.8484848484848485,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,temperature,111,111,0.6859134115742577,0.5715748883686569,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH1_prior_slope_linear,prior_slope,voltage_window,70,70,0.5414507393196556,0.47584308485135013,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,all,227,227,0.584676087317823,0.4226345951424896,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,charge_c_rate,34,34,0.06860198624904507,0.05169340463458111,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,profile,12,12,0.5174825174825175,0.3939393939393939,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,temperature,111,111,0.18769743769743769,0.13284193284193285,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH2_ridge,K2_nominal_condition,voltage_window,70,70,0.46909281777622247,0.3581780538302277,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,all,227,227,0.7536620096887575,0.6345561576546723,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,charge_c_rate,34,34,0.11504965622612681,0.07308377896613191,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,profile,12,12,0.5804195804195804,0.3333333333333333,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,temperature,111,111,0.6947262197262197,0.6036036036036037,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,2,MH3_hist_gradient_boosting,K2_nominal_condition,voltage_window,70,70,0.45124661009535466,0.4078674948240166,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH0_persistence,persistence,all,189,189,nan,nan,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH0_persistence,persistence,charge_c_rate,23,23,nan,nan,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH0_persistence,persistence,profile,12,12,nan,nan,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH0_persistence,persistence,temperature,95,95,nan,nan,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH0_persistence,persistence,voltage_window,59,59,nan,nan,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH1_prior_slope_linear,prior_slope,all,189,189,0.8532085478571069,0.7143343768478237,evaluated,prospective_supported_contrast_diagnostic
condition_fold,delta_capacity_Ah_h,3,MH1_prior_slope_linear,prior_slope,charge_c_rate,23,23,0.08271446859893977,0.07600547259104692,evaluated,prospective_supported_contrast_diagnostic
