feature_group,inner_validation_rows,max_relative_degradation,mean_candidate_condition_mae,mean_gain_vs_r0,model_level,model_setting_id,outer_heldout_fold,outer_split_name,passes_inner_guardrail,schema_version,selected_by_train_only_rule,selection_policy,selection_score,target,weight_strength
F4_state_log_age_scalar,11,0.10334426291023298,0.07332460609310251,3.324420538735909e-05,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,2,temperature_holdout_fold,False,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,-0.053311018704845614,delta_capacity_Ah,0.25
F4_state_log_age_scalar,11,0.1229572239662482,0.07360810459110599,-0.00025025429261611465,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,2,temperature_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.07320747825886431,delta_capacity_Ah,0.5
F4_state_log_age_scalar,11,0.10968615344539108,0.07341715053048113,-5.93002319912622e-05,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,2,temperature_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.05974545367738234,delta_capacity_Ah,0.75
F4_state_log_age_scalar,11,0.12384048474064177,0.0752681446017167,-0.0019102943032268318,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,2,temperature_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.0757507790438686,delta_capacity_Ah,1.0
F8_timestamp_weighted_stress,11,0.09195088867829025,0.0872212085706608,0.0003435076203128256,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,2,temperature_holdout_fold,False,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,-0.04160738105797742,delta_capacity_Ah,0.25
F8_timestamp_weighted_stress,11,0.15573235293430077,0.08513892305394519,0.0024257931370284414,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,2,temperature_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.10330655979727232,delta_capacity_Ah,0.5
F8_timestamp_weighted_stress,11,0.12498401666736175,0.0862765907990084,0.001288125391965229,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,2,temperature_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.07369589127539652,delta_capacity_Ah,0.75
F8_timestamp_weighted_stress,11,0.09419441943079897,0.08557833610008705,0.0019863800908865694,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,2,temperature_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.04220803933991239,delta_capacity_Ah,1.0
F4_state_log_age_scalar,11,0.04941608895418329,0.061226378657919626,0.0003316187879970796,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,1,c_rate_holdout_fold,True,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,0.0003316187879970796,delta_capacity_Ah,0.25
F4_state_log_age_scalar,11,0.05152517557184365,0.05891561236732752,0.0026423850785891904,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,1,c_rate_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,0.001117209506745545,delta_capacity_Ah,0.5
F4_state_log_age_scalar,11,0.06910502366103616,0.05847442539834864,0.0030835720475680672,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,1,c_rate_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.016021451613468088,delta_capacity_Ah,0.75
F4_state_log_age_scalar,11,0.10557426009819217,0.05854643965755559,0.003011557788361122,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,1,c_rate_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.05256270230983104,delta_capacity_Ah,1.0
F8_timestamp_weighted_stress,11,0.1513464291217859,0.0777471847633252,0.0006231477350991155,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,1,c_rate_holdout_fold,False,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,-0.10072328138668678,delta_capacity_Ah,0.25
F8_timestamp_weighted_stress,11,0.15445729366999333,0.07694964567659214,0.0014206868218321902,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,1,c_rate_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.10303660684816114,delta_capacity_Ah,0.5
F8_timestamp_weighted_stress,11,0.13105523861516863,0.07386123612074179,0.004509096377682541,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,1,c_rate_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.07654614223748608,delta_capacity_Ah,0.75
F8_timestamp_weighted_stress,11,0.1323586834179606,0.07399432444937701,0.004376008049047315,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,1,c_rate_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.07798267536891328,delta_capacity_Ah,1.0
F4_state_log_age_scalar,11,0.06329387774751633,0.05715629046695278,-9.067732933223906e-05,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,1,profile_holdout_fold,False,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,-0.013384555076848562,delta_capacity_Ah,0.25
F4_state_log_age_scalar,11,0.14969933865878796,0.0563800189635764,0.0006855941740441376,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,1,profile_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.09901374448474382,delta_capacity_Ah,0.5
F4_state_log_age_scalar,11,0.18687634082198623,0.05564959063525195,0.0014160225023685984,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,1,profile_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.13546031831961763,delta_capacity_Ah,0.75
F4_state_log_age_scalar,11,0.27385719248603957,0.05647144372051332,0.0005941694171072245,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,1,profile_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.22326302306893236,delta_capacity_Ah,1.0
F8_timestamp_weighted_stress,11,0.12234821605320802,0.07118103941384374,0.00013686405648755023,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,1,profile_holdout_fold,False,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,-0.07221135199672046,delta_capacity_Ah,0.25
F8_timestamp_weighted_stress,11,0.12728144205445666,0.0713848386301825,-6.693515985119791e-05,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,1,profile_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.07734837721430785,delta_capacity_Ah,0.5
F8_timestamp_weighted_stress,11,0.21136897156767526,0.0711670519718247,0.00015085149850659063,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,1,profile_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.1612181200691687,delta_capacity_Ah,0.75
F8_timestamp_weighted_stress,11,0.20474124797637575,0.06879601672596782,0.0025218867443634733,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,1,profile_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.15221936123201227,delta_capacity_Ah,1.0
F4_state_log_age_scalar,10,0.18569458080114867,0.06293478555613259,0.00024817393821674786,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,1,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.1354464068629319,delta_capacity_Ah,0.25
F4_state_log_age_scalar,10,0.08549078084670109,0.06057326100432142,0.002609698490027914,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,1,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.03288108235667317,delta_capacity_Ah,0.5
F4_state_log_age_scalar,10,0.046281200095885947,0.060196604852475265,0.002986354641874067,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,1,voltage_window_holdout_fold,True,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,0.002986354641874067,delta_capacity_Ah,0.75
F4_state_log_age_scalar,10,0.1801047134789045,0.060112551994885334,0.0030704074994639995,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,1,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.12703430597944051,delta_capacity_Ah,1.0
F8_timestamp_weighted_stress,10,0.05333494664083098,0.06779512467253627,0.001028807785412081,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,1,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,-0.002306138855418896,delta_capacity_Ah,0.25
F8_timestamp_weighted_stress,10,0.09444972725837861,0.06909117434037712,-0.00026724188242875055,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,1,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.044716969140807354,delta_capacity_Ah,0.5
F8_timestamp_weighted_stress,10,0.18109176316711523,0.07059267207426635,-0.0017687396163179824,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,1,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.13286050278343323,delta_capacity_Ah,0.75
F8_timestamp_weighted_stress,10,0.24180071253156327,0.07013117289050906,-0.0013072404325607015,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,1,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.19310795296412397,delta_capacity_Ah,1.0
F4_state_log_age_scalar,11,0.0,0.07077282267899801,0.004284425407891011,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,2,voltage_window_holdout_fold,True,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,0.004284425407891011,delta_capacity_Ah,0.25
F4_state_log_age_scalar,11,0.07524436149952765,0.06994691017936096,0.005110337907528064,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,2,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.020134023591999582,delta_capacity_Ah,0.5
F4_state_log_age_scalar,11,0.09475159216286928,0.06971956734558443,0.005337680741304594,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,2,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.03941391142156469,delta_capacity_Ah,0.75
F4_state_log_age_scalar,11,0.11908531793044774,0.0707794559119021,0.0042777921749869215,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,2,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.06480752575546082,delta_capacity_Ah,1.0
F8_timestamp_weighted_stress,11,0.06666001414595901,0.08254759894514657,-1.3663609168974982e-06,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,2,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,-0.016661380506875906,delta_capacity_Ah,0.25
F8_timestamp_weighted_stress,11,0.11969552259473501,0.08319707115305745,-0.0006508385688277686,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,2,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.07034636116356277,delta_capacity_Ah,0.5
F8_timestamp_weighted_stress,11,0.06119582924168533,0.0832014217764845,-0.0006551891922548236,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,2,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.011851018433940153,delta_capacity_Ah,0.75
F8_timestamp_weighted_stress,11,0.0968629436405993,0.08422605935984627,-0.0016798267756165802,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,2,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.04854277041621588,delta_capacity_Ah,1.0
F4_state_log_age_scalar,11,0.03846737058339128,0.08066664318634033,0.002150331537970096,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,3,voltage_window_holdout_fold,True,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,0.002150331537970096,delta_capacity_Ah,0.25
F4_state_log_age_scalar,11,0.01705299308411285,0.07955904055819898,0.0032579341661114394,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,3,voltage_window_holdout_fold,True,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,0.0032579341661114394,delta_capacity_Ah,0.5
F4_state_log_age_scalar,11,0.0801139402815261,0.08047437450508121,0.00234260021922921,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,3,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.02777134006229689,delta_capacity_Ah,0.75
F4_state_log_age_scalar,11,0.1587160697780774,0.0808471025945676,0.0019698721297428403,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,3,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.10674619764833455,delta_capacity_Ah,1.0
F8_timestamp_weighted_stress,11,0.06733540983989789,0.07217478340210014,0.0009745963893875354,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p25,3,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,True,conservative_guarded,-0.01636081345051035,delta_capacity_Ah,0.25
F8_timestamp_weighted_stress,11,0.08234122239331179,0.07277648031762876,0.0003728994738589033,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p5,3,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.03196832291945288,delta_capacity_Ah,0.5
F8_timestamp_weighted_stress,11,0.1613530583132679,0.07262428110909777,0.0005250986823899025,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w0p75,3,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.110827959630878,delta_capacity_Ah,0.75
F8_timestamp_weighted_stress,11,0.12147372977993427,0.0719371003883616,0.0012122794031260722,R2_stressor_balanced_hgb,R2_stressor_balanced_hgb__w1,3,voltage_window_holdout_fold,False,gate55.stressor_robust_adaptive.v1,False,conservative_guarded,-0.0702614503768082,delta_capacity_Ah,1.0
