auprc,auroc,brier,calibration_intercept,calibration_method,calibration_slope,calibration_status,ece_10_bin,ece_10_bin_equal_freq,fallback_reason,heldout_fold,label_policy,log_loss,n_calibration,n_fit,n_test,split_name,target,test_negative_count,test_positive_count
0.8890045934044944,0.9911530697066857,0.014835827401007516,0.5115828933243183,C0_raw_hgb_w2,0.0658345726291263,raw,0.008613095029558183,0.0038472769139719382,,0,all_rows,0.052327131103983154,572,2411,844,condition_fold,event_within_1_checkup,802,42
0.8890045934044944,0.9911530697066857,0.01721414930315464,0.600634775988002,C1_platt_logistic,0.11507483713331534,calibrated,0.012868792500457462,0.01777014410460559,,0,all_rows,0.06124653278446684,572,2411,844,condition_fold,event_within_1_checkup,802,42
0.8752748448161469,0.988837430233939,0.01902519087019021,0.32731280990855227,C2_isotonic,0.024445246873762684,calibrated,0.010957535080203341,0.014955223606317115,,0,all_rows,0.06233249653844222,572,2411,844,condition_fold,event_within_1_checkup,802,42
0.8661552901877707,0.9800672430355427,0.020667739445308614,0.46756350266972607,C0_raw_hgb_w2,0.0675812454668839,raw,0.01577476579581415,0.0028608684882582077,,0,verified_only,0.07353104399108189,423,1274,736,condition_fold,event_within_1_checkup,694,42
0.8661552901877707,0.9800672430355427,0.0205148602686804,0.4213848254175854,C1_platt_logistic,0.0936893173660719,calibrated,0.02442014060302597,0.018238501418656832,,0,verified_only,0.07731189562336857,423,1274,736,condition_fold,event_within_1_checkup,694,42
0.8354744888778874,0.9561033347056401,0.02116186056558294,0.2799789394940683,C2_isotonic,0.021881661082465646,calibrated,0.01220958024201648,0.017644112850712133,,0,verified_only,0.1000412128522997,423,1274,736,condition_fold,event_within_1_checkup,694,42
0.8686184109242759,0.9748668546365915,0.03544525365993967,0.45208561483878373,C0_raw_hgb_w2,0.06910755335875443,raw,0.029914392608614948,0.015912298037295623,,0,all_rows,0.11819214227679688,921,2062,844,condition_fold,event_within_2_checkups,760,84
0.8686184109242759,0.9748668546365915,0.03272421146157134,0.49375221909009637,C1_platt_logistic,0.08279063809997388,calibrated,0.021456303561041917,0.005510887774051791,,0,all_rows,0.1139624362630473,921,2062,844,condition_fold,event_within_2_checkups,760,84
0.8522274205001785,0.9606986215538847,0.035806300344406135,0.4089919396580931,C2_isotonic,0.030585858695018498,calibrated,0.028345416960756514,0.01869786084224726,,0,all_rows,0.14614915181766608,921,2062,844,condition_fold,event_within_2_checkups,760,84
0.8915371166272683,0.9772768770084721,0.03138101600473262,0.4918813092541763,C0_raw_hgb_w2,0.07937768759488333,raw,0.02041194411353142,0.013736004355285074,,0,verified_only,0.119132713594482,521,1176,736,condition_fold,event_within_2_checkups,652,84
0.8915371166272683,0.9772768770084721,0.03152616362465901,0.560771357361159,C1_platt_logistic,0.11001618277733684,calibrated,0.01252836171828176,0.016278853176576062,,0,verified_only,0.11582531272407551,521,1176,736,condition_fold,event_within_2_checkups,652,84
0.8831401024925616,0.9606430762489044,0.033305350014891585,0.4373780462871559,C2_isotonic,0.032018917199722705,calibrated,0.01681605445482564,0.009821197999273482,,0,verified_only,0.1758560449217688,521,1176,736,condition_fold,event_within_2_checkups,652,84
0.8889131604667989,0.9720945757997218,0.04668142543859129,0.5363652775056069,C0_raw_hgb_w2,0.07856264681558908,raw,0.035835820997905776,0.018860181105991844,,0,all_rows,0.16399843854649782,751,2232,844,condition_fold,event_within_3_checkups,719,125
0.8889131604667989,0.9720945757997218,0.04535926329748871,0.5744151498562515,C1_platt_logistic,0.10456940110576377,calibrated,0.03160238214282244,0.02612531402130472,,0,all_rows,0.15534866820280904,751,2232,844,condition_fold,event_within_3_checkups,719,125
0.8809926870185211,0.9633546592489569,0.044020251530743966,0.45424655905644584,C2_isotonic,0.03355319128776069,calibrated,0.02641148609313865,0.022770855686177698,,0,all_rows,0.18693217965628692,751,2232,844,condition_fold,event_within_3_checkups,719,125
0.8868475684193708,0.9665335515548281,0.05540206581426781,0.5451667125214102,C0_raw_hgb_w2,0.08503288169221865,raw,0.05243014568429666,0.02416363113827045,,0,verified_only,0.1974849766348134,305,1392,736,condition_fold,event_within_3_checkups,611,125
0.8868475684193708,0.9665335515548281,0.05379366068024942,0.4558467011823624,C1_platt_logistic,0.10785889836650006,calibrated,0.031182822799853176,0.028271009497698483,,0,verified_only,0.17880919785341778,305,1392,736,condition_fold,event_within_3_checkups,611,125
0.8636303135190733,0.9453617021276596,0.053866598573480966,0.4482553468693102,C2_isotonic,0.032319801431908816,calibrated,0.031212769574140813,0.027952747835010373,,0,verified_only,0.30530800568744787,305,1392,736,condition_fold,event_within_3_checkups,611,125
0.8488199325890896,0.9937489332650623,0.012822759626101089,0.5059436620038168,C0_raw_hgb_w2,0.06535171692519377,raw,0.010014099529962774,0.004812350465998476,,1,all_rows,0.0410167512481055,732,2230,865,condition_fold,event_within_1_checkup,837,28
0.8488199325890896,0.9937489332650623,0.012545488576462786,0.5554112093128639,C1_platt_logistic,0.09732473723606806,calibrated,0.010405600988207909,0.010576322897310272,,1,all_rows,0.0416853344838182,732,2230,865,condition_fold,event_within_1_checkup,837,28
0.854428297727783,0.9938769414575866,0.014369743285951343,0.15675448765834035,C2_isotonic,0.013453157328727842,calibrated,0.014414896609449635,0.011806812815777204,,1,all_rows,0.04638389401874296,732,2230,865,condition_fold,event_within_1_checkup,837,28
0.8686162250977433,0.9864982578397212,0.02306250413959075,0.5345644999752631,C0_raw_hgb_w2,0.07565867495423681,raw,0.01707176949030738,0.013015649704024695,,1,verified_only,0.0852569619884121,562,1433,438,condition_fold,event_within_1_checkup,410,28
0.8686162250977433,0.9864982578397212,0.023376868812370076,0.5258943011187535,C1_platt_logistic,0.06624712476603072,calibrated,0.018912676857043308,0.011760959856825959,,1,verified_only,0.08996586413135808,562,1433,438,condition_fold,event_within_1_checkup,410,28
0.7754884956833824,0.9035278745644599,0.024049040397356978,0.46456106879008013,C2_isotonic,0.032808850535729545,calibrated,0.01682790698182959,0.01226297090877023,,1,verified_only,0.21839338361204186,562,1433,438,condition_fold,event_within_1_checkup,410,28
0.8481849161353278,0.981668285361116,0.024734176132387344,0.4937688433110542,C0_raw_hgb_w2,0.07064768074460491,raw,0.01788963724516371,0.00844542368583465,,1,all_rows,0.09161397648986291,827,2135,865,condition_fold,event_within_2_checkups,809,56
0.8481849161353278,0.981668285361116,0.023818320213443548,0.5772789377859407,C1_platt_logistic,0.10689359610444311,calibrated,0.01585129932336152,0.016749228936270434,,1,all_rows,0.08736917977791266,827,2135,865,condition_fold,event_within_2_checkups,809,56
0.8399415898087204,0.9812157866855024,0.02442243139554535,0.37595675014574903,C2_isotonic,0.028379514022282636,calibrated,0.012701723541488205,0.011862261660017075,,1,all_rows,0.0818900876110991,827,2135,865,condition_fold,event_within_2_checkups,809,56
0.8222415148340848,0.9412163425579656,0.052327082803946295,0.47469737518467325,C0_raw_hgb_w2,0.07206478507377224,raw,0.039769568509362224,0.027838573203266603,,1,verified_only,0.20666425513858983,498,1497,438,condition_fold,event_within_2_checkups,382,56
0.8222415148340848,0.9412163425579656,0.04827532296546824,0.5545959336635431,C1_platt_logistic,0.13827029298905816,calibrated,0.020395361035667785,0.023656714097293932,,1,verified_only,0.17619222098406034,498,1497,438,condition_fold,event_within_2_checkups,382,56
0.8231342795264877,0.9451196709050113,0.049204955062808725,0.29280021226064723,C2_isotonic,0.02716640121253107,calibrated,0.02043449224765519,0.027915694381570627,,1,verified_only,0.16942947652860574,498,1497,438,condition_fold,event_within_2_checkups,382,56
0.8792847389684959,0.9755212270093222,0.028371509915168833,0.5031464645353841,C0_raw_hgb_w2,0.07723173497636346,raw,0.017994389994796172,0.014190864978881827,,1,all_rows,0.10774437240203856,791,2171,865,condition_fold,event_within_3_checkups,784,81
0.8792847389684959,0.9755212270093222,0.028727407504503966,0.5713050148119825,C1_platt_logistic,0.09396367047936302,calibrated,0.02004675910924203,0.019213746335806803,,1,all_rows,0.10953304821689999,791,2171,865,condition_fold,event_within_3_checkups,784,81
0.8411661269863008,0.9352875409423028,0.029715210587078576,0.5621207917397301,C2_isotonic,0.03998330158298535,calibrated,0.0221017184962909,0.021320242930143708,,1,all_rows,0.2032422378572654,791,2171,865,condition_fold,event_within_3_checkups,784,81
0.8660355839396695,0.9544904381505689,0.06207966777728736,0.5387678952122493,C0_raw_hgb_w2,0.0892657089727186,raw,0.04410781915214857,0.03680989462859319,,1,verified_only,0.22599939363057212,541,1454,438,condition_fold,event_within_3_checkups,357,81
0.8660355839396695,0.9544904381505689,0.06497356917400215,0.6246889267673377,C1_platt_logistic,0.1254227304499379,calibrated,0.049334132262640114,0.05513636464567971,,1,verified_only,0.22714674804557558,541,1454,438,condition_fold,event_within_3_checkups,357,81
0.8488702655791183,0.9317875298267455,0.06730013059363602,0.5187769969187886,C2_isotonic,0.03695821714450676,calibrated,0.055062564026892684,0.05307771193239198,,1,verified_only,0.3530493728227988,541,1454,438,condition_fold,event_within_3_checkups,357,81
0.7804357369475702,0.9889319534902306,0.017863205066357878,0.3600252274905714,C0_raw_hgb_w2,0.04773145362314074,raw,0.017746019825573032,0.013990841205542734,,2,all_rows,0.06189081602565094,872,2063,892,condition_fold,event_within_1_checkup,863,29
0.7804357369475702,0.9889319534902306,0.014115082985418166,0.4121809955896443,C1_platt_logistic,0.06507742436347036,calibrated,0.009257379162712282,0.0062511261624301345,,2,all_rows,0.04874060814422805,872,2063,892,condition_fold,event_within_1_checkup,863,29
0.7160744743482453,0.954069604826787,0.01846494387245042,0.36355748946376343,C2_isotonic,0.0262427535749764,calibrated,0.014938737875482949,0.014224376177441461,,2,all_rows,0.1140337385470945,872,2063,892,condition_fold,event_within_1_checkup,863,29
0.7339431450994918,0.9733802932263085,0.041036347803907414,0.33150539576450966,C0_raw_hgb_w2,0.048910452732157085,raw,0.04078076540369218,0.03556358052918745,,2,verified_only,0.14035701804191156,475,1508,450,condition_fold,event_within_1_checkup,421,29
0.7339431450994918,0.9733802932263085,0.03027576199890222,0.40341487919764707,C1_platt_logistic,0.08610905313563579,calibrated,0.02710968604508287,0.018587878513911492,,2,verified_only,0.10375933206677675,475,1508,450,condition_fold,event_within_1_checkup,421,29
0.7483356773944775,0.9700221148333197,0.03300613233124321,0.22758809983059058,C2_isotonic,0.018915684714853404,calibrated,0.030791278318600644,0.02678434398029514,,2,verified_only,0.1042314037690144,475,1508,450,condition_fold,event_within_1_checkup,421,29
0.6825840739898072,0.9850119904076738,0.02590767337629819,0.4163392711010807,C0_raw_hgb_w2,0.06050368433030858,raw,0.02794883071122188,0.01788006210022402,,2,all_rows,0.10012339912752675,928,2007,892,condition_fold,event_within_2_checkups,834,58
0.6825840739898072,0.9850119904076738,0.02377619524033861,0.47925914596007824,C1_platt_logistic,0.10503954715107258,calibrated,0.029408991268592536,0.014475256936570443,,2,all_rows,0.08260232479848358,928,2007,892,condition_fold,event_within_2_checkups,834,58
0.8321250983850599,0.985921607541553,0.023943885603994925,0.27237434604846456,C2_isotonic,0.02134055090293707,calibrated,0.020101406029351385,0.00965487545310188,,2,all_rows,0.07829687363102249,928,2007,892,condition_fold,event_within_2_checkups,834,58
0.9374124485003366,0.9886303659394793,0.036529802588213166,0.4394800574085509,C0_raw_hgb_w2,0.07626225573944172,raw,0.036651275210776546,0.036052086169077416,,2,verified_only,0.11216564416212667,599,1384,450,condition_fold,event_within_2_checkups,392,58
0.9374124485003366,0.9886303659394793,0.030482589239710284,0.5027348870585271,C1_platt_logistic,0.10690124379938536,calibrated,0.033465935548995865,0.023813475899904252,,2,verified_only,0.10557924383247848,599,1384,450,condition_fold,event_within_2_checkups,392,58
0.93300160516881,0.9859254046446164,0.03209535661127195,0.42438253318262603,C2_isotonic,0.03251681778599053,calibrated,0.02877102571034031,0.01868634356831545,,2,verified_only,0.10428713725163266,599,1384,450,condition_fold,event_within_2_checkups,392,58
0.8579363867741292,0.9815682461103253,0.03720129380140866,0.4862698810834003,C0_raw_hgb_w2,0.07224778183983606,raw,0.029096420743520562,0.029631838840743704,,2,all_rows,0.11478724544466554,699,2236,892,condition_fold,event_within_3_checkups,808,84
0.8579363867741292,0.9815682461103253,0.034312199922439085,0.48537504097187845,C1_platt_logistic,0.10559465024579077,calibrated,0.034118321560172936,0.025804310359417132,,2,all_rows,0.10922640985900356,699,2236,892,condition_fold,event_within_3_checkups,808,84
0.8775344457707381,0.9813988095238095,0.031609101478186304,0.39651998515007136,C2_isotonic,0.029521080931284013,calibrated,0.01687801176653491,0.011384581725914325,,2,all_rows,0.14253977564753317,699,2236,892,condition_fold,event_within_3_checkups,808,84
0.9236817472397585,0.9729703356752537,0.046810621309884115,0.48942266539526347,C0_raw_hgb_w2,0.08351485399724232,raw,0.030289443190465094,0.021266788317670857,,2,verified_only,0.1584821388644687,543,1440,450,condition_fold,event_within_3_checkups,366,84
0.9236817472397585,0.9729703356752537,0.050982404605642066,0.45175009525732046,C1_platt_logistic,0.11523505469106281,calibrated,0.049436378385218985,0.04158450832270312,,2,verified_only,0.17005837470200197,543,1440,450,condition_fold,event_within_3_checkups,366,84
0.9226611263487705,0.9714415820973198,0.050218685510380064,0.36972607323753703,C2_isotonic,0.030850715253161163,calibrated,0.04440436670449034,0.04105484585927188,,2,verified_only,0.1835376952406653,543,1440,450,condition_fold,event_within_3_checkups,366,84
0.6801732297813676,0.8134987149402167,0.040552165875473896,0.5034806236921596,C0_raw_hgb_w2,0.06198848171289904,raw,0.03854208037800746,0.021277284096898257,,3,all_rows,0.21614333766036017,924,2394,509,condition_fold,event_within_1_checkup,471,38
0.6801732297813676,0.8134987149402167,0.03990153543671975,0.49909541112423084,C1_platt_logistic,0.08111606084506479,calibrated,0.037500700720763856,0.019910963685900954,,3,all_rows,0.17736472925929525,924,2394,509,condition_fold,event_within_1_checkup,471,38
0.6369433002491488,0.8219912839423399,0.041666254188022354,0.23210501004716058,C2_isotonic,0.022409767516403542,calibrated,0.035539794894065446,0.026156949436351155,,3,all_rows,0.2798201797975553,924,2394,509,condition_fold,event_within_1_checkup,471,38
0.7615171739591877,0.9503353973168215,0.05709954793818816,0.5278031685775808,C0_raw_hgb_w2,0.07042528932018402,raw,0.056291921598996646,0.0342928720599489,,3,verified_only,0.23246900991946937,595,1494,344,condition_fold,event_within_1_checkup,306,38
0.7615171739591877,0.9503353973168215,0.05662097873462856,0.5242962058440337,C1_platt_logistic,0.08053848559295995,calibrated,0.05191669318527888,0.031326596259108136,,3,verified_only,0.21354216396409978,595,1494,344,condition_fold,event_within_1_checkup,306,38
0.7051046600079972,0.843266253869969,0.06376523642798208,0.4877206294484445,C2_isotonic,0.032919722713778785,calibrated,0.05110325954959554,0.04039010560089276,,3,verified_only,0.5046994490834985,595,1494,344,condition_fold,event_within_1_checkup,306,38
0.8036754363842175,0.9559833475142823,0.06745187585592144,0.5403383940374368,C0_raw_hgb_w2,0.07449253808882185,raw,0.05282325004371759,0.03500484669792338,,3,all_rows,0.23412779560624047,941,2377,509,condition_fold,event_within_2_checkups,433,76
0.8036754363842175,0.9559833475142823,0.06477996500544021,0.5980837772846003,C1_platt_logistic,0.11214089858304606,calibrated,0.053311266078900174,0.04244779942919877,,3,all_rows,0.21211441471500012,941,2377,509,condition_fold,event_within_2_checkups,433,76
0.7678871815037769,0.9407286981888903,0.06998448084838331,0.3635569828741004,C2_isotonic,0.029774836432311408,calibrated,0.051316085740320636,0.04426768844449462,,3,all_rows,0.2781361677302508,941,2377,509,condition_fold,event_within_2_checkups,433,76
0.8548103050790672,0.9428760801256874,0.08206451480246095,0.5330365730144121,C0_raw_hgb_w2,0.07776936363831255,raw,0.058015421602945046,0.05160624442963102,,3,verified_only,0.3022835174318845,519,1570,344,condition_fold,event_within_2_checkups,268,76
0.8548103050790672,0.9428760801256874,0.08129267421705527,0.5750110242888047,C1_platt_logistic,0.06839034905888394,calibrated,0.05760764477001241,0.053596734920634714,,3,verified_only,0.3398321805939734,519,1570,344,condition_fold,event_within_2_checkups,268,76
0.8022661796883568,0.881578947368421,0.08273775095119608,0.4767731131561707,C2_isotonic,0.031109122568236898,calibrated,0.05528969040867532,0.05348470628946067,,3,verified_only,0.749795688347743,519,1570,344,condition_fold,event_within_2_checkups,268,76
0.808075537892238,0.9349481376709099,0.09373042572428372,0.5419196369548742,C0_raw_hgb_w2,0.07767976278145668,raw,0.0848085228795775,0.07280636302673664,,3,all_rows,0.32790240794703124,1038,2280,509,condition_fold,event_within_3_checkups,404,105
0.808075537892238,0.9349481376709099,0.0929243833566498,0.579926404891546,C1_platt_logistic,0.08773218259783473,calibrated,0.07802790569921891,0.06378005085330743,,3,all_rows,0.3254045690860504,1038,2280,509,condition_fold,event_within_3_checkups,404,105
0.8068268498904745,0.9344177274870344,0.09204534348351301,0.4983917533799316,C2_isotonic,0.03752813081104586,calibrated,0.0699981924104675,0.06839378594170192,,3,all_rows,0.32163327019447857,1038,2280,509,condition_fold,event_within_3_checkups,404,105
0.8848907166116451,0.9439131301055987,0.1028201760883144,0.5596775065640716,C0_raw_hgb_w2,0.08613417419098464,raw,0.08994099703493584,0.07086640453366906,,3,verified_only,0.3342658391441094,511,1578,344,condition_fold,event_within_3_checkups,239,105
0.8848907166116451,0.9439131301055987,0.10317120024853993,0.6075252637153612,C1_platt_logistic,0.1050962843124898,calibrated,0.09317527030878271,0.06768842370878798,,3,verified_only,0.3305569669074272,511,1578,344,condition_fold,event_within_3_checkups,239,105
0.8780454139300156,0.9331141661685595,0.1060294872316864,0.5482576355151338,C2_isotonic,0.03895352484021463,calibrated,0.09383681654665577,0.07908162889078366,,3,verified_only,0.40762202555184074,511,1578,344,condition_fold,event_within_3_checkups,239,105
